name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4584.0,-2.01,0.1,0.0022,0.1 (0.002%),NEUTRAL,1.06,17.39
Silver,SI=F,Precious Metals,79.48,-6.4,0.005,0.0063,0.005 (0.006%),BULLISH,3.05,8.36
Platinum,PL=F,Precious Metals,2014.2,-3.33,0.1,0.005,0.1 (0.005%),BULLISH,2.27,16.62
Palladium,PA=F,Precious Metals,1432.5,-1.65,0.5,0.0349,0.5 (0.035%),BEARISH,2.23,19.59
Crude Oil WTI,CL=F,Energy,98.73,-2.41,0.01,0.0101,0.01 (0.010%),BULLISH,2.98,0.07
Brent Crude,BZ=F,Energy,107.31,1.5,0.01,0.0093,0.01 (0.009%),NEUTRAL,3.28,0.06
Natural Gas,NG=F,Energy,2.934,1.38,0.001,0.0341,0.001 (0.034%),BULLISH,2.0,0.06
Copper,HG=F,Industrial Metals,6.362,-3.13,0.0005,0.0079,0.0005 (0.008%),BULLISH,1.45,7.22
Corn,ZC=F,Agriculture,468.25,3.71,0.25,0.0534,0.25 (0.053%),NEUTRAL,1.06,0.56
Wheat,ZW=F,Agriculture,652.5,0.85,0.25,0.0383,0.25 (0.038%),BULLISH,1.77,0.9
Soybeans,ZS=F,Agriculture,1191.0,1.4,0.25,0.021,0.25 (0.021%),BULLISH,0.87,0.61
Cotton,CT=F,Softs,81.89,-2.44,0.01,0.0122,0.01 (0.012%),BULLISH,1.6,0.66
