name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,748.59,0.85,BULLISH,0.58,0.6
Invesco QQQ,QQQ,US Equity,720.72,0.84,BULLISH,0.94,0.68
iShares Russell 2000,IWM,US Equity,284.72,0.73,BULLISH,0.9,0.51
SPDR Dow Jones,DIA,US Equity,500.95,0.77,BULLISH,0.56,0.95
Vanguard Total Market,VTI,US Equity,367.71,0.82,BULLISH,0.6,0.68
Vanguard S&P 500,VOO,US Equity,688.21,0.85,BULLISH,0.58,0.62
Financial Select,XLF,Sector,51.33,0.67,BEARISH,0.51,0.68
Technology Select,XLK,Sector,179.97,1.76,BULLISH,1.34,0.78
Energy Select,XLE,Sector,58.08,0.78,NEUTRAL,1.23,0.39
Health Care Select,XLV,Sector,146.49,-0.15,NEUTRAL,0.73,0.68
Industrial Select,XLI,Sector,174.23,0.35,BULLISH,1.02,0.68
Consumer Disc.,XLY,Sector,118.8,0.07,NEUTRAL,0.67,0.63
iShares Core US Agg,AGG,Bonds,98.74,0.07,NEUTRAL,0.21,0.52
Vanguard Total Bond,BND,Bonds,73.23,0.08,NEUTRAL,0.22,0.66
iShares 20+ Year Tr.,TLT,Bonds,85.09,0.34,BEARISH,0.42,0.69
iShares High Yield,HYG,Bonds,79.94,0.04,NEUTRAL,0.22,0.54
iShares Inv. Grade,LQD,Bonds,108.76,0.13,NEUTRAL,0.28,0.53
iShares MSCI EAFE,EFA,International,103.62,-0.2,BULLISH,0.99,0.44
iShares MSCI EM,EEM,International,67.47,0.38,BULLISH,1.4,0.51
Vanguard FTSE Dev.,VEA,International,70.66,0.04,BULLISH,1.09,0.74
SPDR Gold,GLD,Commodity,428.74,-0.41,BULLISH,1.06,0.44
iShares Silver,SLV,Commodity,76.35,-3.78,BULLISH,2.7,0.89
US Oil Fund,USO,Commodity,142.01,-0.02,BULLISH,3.37,0.3
ARK Innovation,ARKK,Thematic,78.42,0.47,BULLISH,1.75,0.87
