pair,name,group,price,change_pct,trend,volatility_20d
EUR/USD,Euro / US Dollar,Major,1.1719,-1.26,NEUTRAL,0.24
GBP/USD,British Pound / US Dollar,Major,1.3528,-0.68,NEUTRAL,0.27
USD/JPY,US Dollar / Japanese Yen,Major,157.802,3.26,BEARISH,0.3
USD/CHF,US Dollar / Swiss Franc,Major,0.7817,1.57,NEUTRAL,0.3
AUD/USD,Australian Dollar / US Dollar,Major,0.7258,2.41,BULLISH,0.37
USD/CAD,US Dollar / Canadian Dollar,Major,1.3705,0.69,NEUTRAL,0.2
NZD/USD,New Zealand Dollar / US Dollar,Major,0.5935,-1.62,BULLISH,0.46
EUR/GBP,Euro / British Pound,Minor,0.8661,-0.61,NEUTRAL,0.11
EUR/JPY,Euro / Japanese Yen,Minor,184.912,1.95,BEARISH,0.24
GBP/JPY,British Pound / Japanese Yen,Minor,213.496,2.59,NEUTRAL,0.25
EUR/CHF,Euro / Swiss Franc,Minor,0.9158,0.27,NEUTRAL,0.15
AUD/JPY,Australian Dollar / Japanese Yen,Minor,114.503,5.73,NEUTRAL,0.32
GBP/CHF,British Pound / Swiss Franc,Minor,1.0574,0.94,NEUTRAL,0.17
CAD/JPY,Canadian Dollar / Japanese Yen,Minor,115.164,2.58,BEARISH,0.29
NZD/JPY,NZ Dollar / Japanese Yen,Minor,93.625,1.58,NEUTRAL,0.35
USD/MXN,US Dollar / Mexican Peso,Exotic,17.1681,-0.23,BEARISH,0.32
USD/ZAR,US Dollar / South African Rand,Exotic,16.3977,2.82,NEUTRAL,0.56
USD/TRY,US Dollar / Turkish Lira,Exotic,45.4157,3.86,BULLISH,0.08
USD/BRL,US Dollar / Brazilian Real,Exotic,5.0111,-3.89,BEARISH,0.53
