name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7501.24,0.77,BULLISH,0.6
Nasdaq,^IXIC,US,26635.22,0.88,BULLISH,0.87
Dow Jones,^DJI,US,50063.46,0.75,BULLISH,0.56
Russell 2000,^RUT,US,2863.09,0.67,BULLISH,0.9
FTSE 100,^FTSE,UK,10301.33,-0.69,BEARISH,0.74
DAX,^GDAXI,Germany,24287.8,-0.69,NEUTRAL,0.93
CAC 40,^FCHI,France,8033.9,-0.6,BEARISH,1.0
Euro Stoxx 50,^STOXX50E,EU,5879.01,0.31,NEUTRAL,0.94
Nikkei 225,^N225,Japan,61409.29,-1.99,BULLISH,1.25
Hang Seng,^HSI,HK,25985.76,-1.53,BULLISH,0.81
Shanghai Comp,000001.SS,China,4135.39,-1.02,BULLISH,0.51
BSE Sensex,^BSESN,India,75662.65,0.35,BEARISH,0.79
Nifty 50,^NSEI,India,23783.85,0.4,BEARISH,0.74
KOSPI,^KS11,Korea,7493.18,-6.12,BULLISH,2.11
ASX 200,^AXJO,Australia,8630.8,-0.11,BEARISH,0.5
