symbol,name,source,price_usd,market_cap,volume_24h,change_24h,change_7d,volatility,mcap_tier,trend,momentum_score
BTC,Bitcoin,coingecko,79818,1597919161645,47090138993,-1.44731,-1.5078598565525574,LOW,LARGE_CAP,DOWN,-1.47
ETH,Ethereum,coingecko,2268.4,273685861144,14453766282,-1.30718,-2.625541758189288,LOW,LARGE_CAP,DOWN,-1.83
USDT,Tether,coingecko,0.999517,189764515546,73595178768,-0.01538,-0.029957558291637754,LOW,LARGE_CAP,FLAT,-0.02
BNB,BNB,coingecko,669.18,90274236048,1177060227,-1.27361,3.951019421636396,LOW,LARGE_CAP,DOWN,0.82
XRP,XRP,coingecko,1.43,88719514827,2238546109,-1.28732,1.7026595845840848,LOW,LARGE_CAP,DOWN,-0.09
USDC,USDC,coingecko,0.999681,76735205405,13095576440,-0.09104,-0.01547167595892106,LOW,LARGE_CAP,FLAT,-0.06
SOL,Solana,coingecko,91.25,52747190638,3778833924,-4.1925,3.0384148013374372,MEDIUM,LARGE_CAP,DOWN,-1.3
TRX,TRON,coingecko,0.350701,33243711739,456625416,0.5127,1.8839565612838047,LOW,LARGE_CAP,FLAT,1.06
FIGR_HELOC,Figure Heloc,coingecko,1.034,18479675560,25009665,-0.35018,1.363097754556875,LOW,LARGE_CAP,FLAT,0.34
DOGE,Dogecoin,coingecko,0.114991,17733858045,1953013294,2.67685,3.7552063771560675,LOW,LARGE_CAP,UP,3.11
WBT,WhiteBIT Coin,coingecko,58.77,12509904919,49533231,-1.20319,-0.7406463574573552,LOW,LARGE_CAP,DOWN,-1.02
USDS,USDS,coingecko,0.999664,10987365187,10281443,-0.0094,-0.009186233996696304,LOW,LARGE_CAP,FLAT,-0.01
ADA,Cardano,coingecko,0.265887,9841967078,419083419,-2.65555,0.269290045743206,LOW,MID_CAP,DOWN,-1.49
HYPE,Hyperliquid,coingecko,39.18,9340978662,301787985,-1.90867,-8.578680840070978,LOW,MID_CAP,DOWN,-4.58
LEO,LEO Token,coingecko,10.05,9252890894,622224,0.62223,-2.72984953536299,LOW,MID_CAP,FLAT,-0.72
ZEC,Zcash,coingecko,528.22,8832751837,870665190,-4.72244,-2.73272534762789,MEDIUM,MID_CAP,DOWN,-3.93
BCH,Bitcoin Cash,coingecko,434.23,8708573462,228867455,-1.95329,-5.8888625194428075,LOW,MID_CAP,DOWN,-3.53
LINK,Chainlink,coingecko,10.29,7480779991,464458050,-1.21848,3.5350687093048645,LOW,MID_CAP,DOWN,0.68
XMR,Monero,coingecko,397.02,7353223966,142337224,-3.86002,-3.4302161769050024,MEDIUM,MID_CAP,DOWN,-3.69
CC,Canton,coingecko,0.157473,6050544346,8543275,2.53806,6.565401028699383,LOW,MID_CAP,UP,4.15
TON,Toncoin,coingecko,2.15,5775035502,405745516,-5.09024,-22.965732988089158,MEDIUM,MID_CAP,STRONG_DOWN,-12.24
XLM,Stellar,coingecko,0.159784,5352500455,101267099,-2.35446,-0.6756874450808767,LOW,MID_CAP,DOWN,-1.68
SUI,Sui,coingecko,1.2,4831082827,669037768,-2.26039,22.481723810360464,LOW,MID_CAP,DOWN,7.64
USD1,USD1,coingecko,0.999296,4433184582,990742670,-0.04622,-0.0070776348619905815,LOW,MID_CAP,FLAT,-0.03
LTC,Litecoin,coingecko,57.25,4420842678,261269709,-1.54226,0.9975983926028803,LOW,MID_CAP,DOWN,-0.53
DAI,Dai,coingecko,0.999634,4371835714,224212966,0.00231,-0.0003524037239994946,LOW,MID_CAP,FLAT,0.0
